Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
61586,61586,297.5190518343,42.77705948104,2078510669423417984,1.7323,5.252,4.294,-3.024,10.970357,0.002763,11.136655,0.002824,10.683457,0.003788,10.581075,0.008509,0.453197,0.166298,0.2869,,7642.2,571.3211,2.0327,12.872599,1.76,0.993,0.553208,A      
1976,1976,63.75477555009,29.24852395546,165552851617464448,0.97,2.329,0.852,-2.168,13.526629,0.002762,14.033261,0.002932,12.847286,0.003835,12.53757,0.023856,1.185975,0.506632,0.679343,1.4832,7593.5,1024.7878,2.1368,12.994566,1.76,1.026,0.46408987,A      
164266,64266,26.65562802698,61.23818173973,511217592042996992,0.3279,1.096,-1.046,-0.328,14.186007,0.002768,14.571767,0.00297,13.611178,0.003869,,,0.960588,0.38576,0.574828,,12259.5,3523.9692,3.6254,169.93155,3.364,,0.5180952,B      
55615,55615,286.633874229,27.42847875469,2036958265280669568,1.1079,5.084,2.758,-4.27,11.891209,0.002765,12.008739,0.002876,11.678468,0.003798,11.588968,0.01353,0.330272,0.117531,0.212741,,8965.1,941.9805,1.8943,18.100393,1.994,0.343,0.59928143,A      
177781,77781,54.3029338533,71.2541236806,542940942038735616,1.4827,4.543,-4.46,0.866,10.545597,0.002771,10.743691,0.002811,10.192113,0.00379,10.033326,0.007381,0.551579,0.198094,0.353484,,11658.6,612.8248,2.4179,120.78586,3.102,,0.7867593,B      
92960,92960,113.25100035773,0.21439937658,3086485926952545024,2.7655,2.597,-1.608,2.039,10.26735,0.002808,10.407057,0.002911,10.02159,0.003816,9.929298,0.004285,0.385467,0.139707,0.24576,,7506.5,365.297,1.7215,8.310124,1.616,0.907,0.54693055,A      
5977,5977,89.10909548066,52.0658336718,214988573732178560,1.2987,4.717,4.659,0.738,11.788698,0.002813,12.013828,0.003064,11.409423,0.003879,11.250175,0.010618,0.604405,0.22513,0.379275,,7253.5,708.8607,2.077,12.812706,1.75,1.097,0.48318753,A      
60459,60459,297.88777591103,38.30934615734,2072206516446772352,0.5248,2.68,1.475,-2.237,13.745231,0.002763,14.015787,0.00285,13.319449,0.003817,13.098835,0.055473,0.696338,0.270556,0.425781,,7067.9,2186.049,2.8748,12.048684,1.709,1.321,0.3968573,A      
93513,93513,102.55001776387,-7.71260444582,3099125946989598592,0.4649,1.57,0.088,1.567,14.024626,0.002826,14.34265,0.003023,13.519815,0.00388,13.31632,0.205586,0.822835,0.318025,0.50481,,7486.4,1423.7307,1.7951,16.120455,1.831,1.066,0.5238085,A      
14508,14508,19.12452970101,57.78135385013,413472073487669888,0.2836,1.571,-1.553,0.242,14.590944,0.002759,14.95401,0.002887,14.053228,0.003822,13.713556,0.118595,0.900782,0.363066,0.537716,,7225.3,3582.8494,3.6669,28.697788,2.074,0.916,0.3401135,A      
